trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.6, 'e': 0.9925672259822949}",30,0,-140.2070021614216,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
123,False,"{'a': 0.6, 'e': 0.9924450321351935}",20,0,-145.9795861503741,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
124,False,"{'a': 0.6, 'e': 0.9923218458431429}",25,0,-70.81140037474887,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.6, 'e': 0.992197667229329}",30,0,-312.2264172553029,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 5}",0
126,False,"{'a': 0.6, 'e': 0.9920724964179307}",20,0,-68.98761844678053,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
127,False,"{'a': 0.6, 'e': 0.9919463335341185}",20,0,-136.64637732844545,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
128,False,"{'a': 0.6, 'e': 0.9918191787040556}",20,2,-53.228928295656864,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.9916910320548965}",20,0,-113.75652809556374,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
130,False,"{'a': 0.6, 'e': 0.9915618937147881}",30,17,-1.4053538133915435,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.9914317638128685}",30,0,-158.25057459305776,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
132,False,"{'a': 0.6, 'e': 0.9913006424792677}",25,0,-148.9456290872023,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
133,False,"{'a': 0.6, 'e': 0.9911685298451072}",25,0,-169.46992952113985,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
134,False,"{'a': 0.6, 'e': 0.9910354260424993}",25,0,-83.36419047102594,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
135,False,"{'a': 0.6, 'e': 0.9909013312045479}",20,0,-86.99689073034004,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
136,False,"{'a': 0.6, 'e': 0.990766245465348}",20,0,-53.90704897701144,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
137,False,"{'a': 0.6, 'e': 0.9906301689599851}",30,0,-234.40767402023263,"{0: 16, 1: 3, 2: 4, 3: 4, 4: 3}",0
138,False,"{'a': 0.6, 'e': 0.9904931018245359}",20,12,-11.523230750288329,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.9903550441960673}",30,0,-196.77783705504964,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
140,False,"{'a': 0.6, 'e': 0.9902159962126371}",20,0,-186.96891099725698,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
